symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
IL17RA	0.08652340118911245	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.13678442946261474	No data	No data	No data	No data	No data	No data	0.11079991006496648	No data	No data	1	0	1	0	0	0	0	No data	-0.1246552675124104	-0.7890984969708023	0	No data	No data	0	0.5	-1
PDE4D	0.08570570202272249	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1401618227826793	No data	No data	No data	No data	No data	No data	No data	0.01635098289812564	No data	1	1	0	1	1	1	0.8640300000000003	1	-0.7921676778819636	-0.7179121096382592	0	-1	No data	-0.1131025000000001	0.5	0
PDE4C	0.08520868871897291	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1401618227826793	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0	No data	0.1384445670159955	-0.05373224667943238	0	No data	No data	-0.2279399999999999	0.5	0
CXCL10	0.084808335250297	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.2443991787488707	0.2497203868675577	No data	0.5	0	1	1	0	1	0	No data	0.049531163816878054	-0.23260967282723977	0	-1	No data	0	0.5	0
IL2RB	0.0846869493959158	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.13678442946261474	No data	No data	No data	No data	No data	No data	0.037742370351721476	0.02844239550005934	No data	1	1	0	0	0	0	0	No data	-0.553557639271925	-0.7368447613228502	0	No data	No data	0	0.5	0
HMGCR	0.08446696248283486	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.13678442946261474	No data	No data	No data	No data	No data	No data	0.043146199663824776	No data	No data	1	0	0	1	1	1	0.6734250000000003	1	-0.7436293436293436	-0.3074028175658705	-1	-1	No data	No data	0.5	-1
CD52	0.08370983708608495	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.13678442946261474	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data	1	1	0	0	0	0	0	No data	0.8400441257584115	0	0	No data	No data	No data	1	0
HRH1	0.0831554673040579	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.13678442946261474	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0	0	0.19106453392167677	-0.812605562087891	0	-1	No data	0	-1	0
IL13	0.0777131765637261	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.10171147549437883	0.052224351648404374	No data	1	0	1	0	0	1	0	No data	0.5741864313292884	-0.8039416059473689	0	-1	No data	No data	1	1
CNR2	0.07693697512308972	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.09938644983994842	No data	No data	0.5	1	0	1	1	0	0	0	0.705681191395477	-0.10779255150558831	0	-1	No data	0	0.5	0.5
