symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
ADRB2	0.552116507387586	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.877970883623333	No data	No data	No data	No data	No data	No data	0.6043769422061693	No data	No data	1	1	0	1	1	1	0.4067799999999998	1	-0.11759514616657474	-0.885171527444237	0	-1	No data	0	-1	0
FLT1	0.5464745794429402	0.8614840717729643	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.13678442946261474	No data	No data	No data	No data	No data	No data	0.14530538408264035	No data	No data	1	1	1	1	1	0	0.08445499999999981	0	-0.8159955874241589	-0.929864963473227	0	-1	No data	0	1	0
NDUFA12	0.5362027392199549	0.7490279285021237	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5319394479101685	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.4482750000000003	No data	0.37297297297297294	0	0	No data	No data	No data	0.5	-1
PPARA	0.5357391486528919	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8462466156855868	No data	No data	No data	No data	No data	No data	0.5295204623859795	No data	0.38374111772239555	1	0	0	1	1	1	0.6153849999999998	1	-0.4211803640375069	-0.9588129773401152	0	-1	No data	0	0.5	-1
SERPINC1	0.5177642696135594	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.838789638431987	No data	No data	No data	No data	No data	No data	0.2578653927069438	No data	No data	1	0	1	0	1	1	0.375	No data	-0.7512410369553226	-0.9479199280867142	0	-1	No data	0	1	0.5
GUCY1A1	0.5163184746150495	0.8107310819408061	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1473387835878165	No data	No data	No data	No data	No data	No data	0.07825082583257582	No data	No data	1	0	0	1	1	0	0.49275499999999967	No data	-0.01665747380033089	-0.8816444576060652	0	No data	No data	0	-1	-1
ITGA2B	0.511703791278041	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8302380310883252	No data	No data	No data	No data	No data	No data	0.2295170061599864	No data	No data	1	1	0	1	1	1	0	No data	-0.3453943739658025	-0.8596145089219095	0	No data	No data	0	0.5	0
EDNRA	0.5042414946330325	0.7941333345000213	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.22090930515061213	No data	No data	1	1	0	1	1	0	0.6135849999999998	1	-0.7680088251516823	-0.9768915586159457	0	-1	No data	0	0.5	0
PPARG	0.4453907304832368	0.5757632565632681	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5319394479101685	No data	No data	No data	No data	No data	No data	0.8543403967180659	No data	0.3920376844131341	1	0	0	1	1	1	0.9157899999999998	1	-0.5346938775510204	-0.9812084574342594	0	-1	-1	0	0.5	0
ESR1	0.436803047794823	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6795254613704256	No data	No data	No data	No data	No data	No data	0.7796476888356374	No data	No data	1	0	0	1	1	1	0.4789900000000003	1	-0.734142305570877	-0.9363843084471015	0	-1	-1	0	0.5	0
