gene,free:hom_g2,free:hom_e2,free:v,free:w,free:V_BIN,free:V_BMem,free:V_CD4ET,free:V_CD4NC,free:V_CD8ET,free:V_CD8NC,free:V_NK,free:W_BIN,free:W_BMem,free:W_CD4ET,free:W_CD4NC,free:W_CD8ET,free:W_CD8NC,free:W_NK,free:ct_beta_BIN,free:ct_beta_BMem,free:ct_beta_CD4ET,free:ct_beta_CD4NC,free:ct_beta_CD8ET,free:ct_beta_CD8NC,free:ct_beta_NK,p:free:hom_g2,p:free:hom_e2,p:free:V,p:free:W,p:free:vc_BIN,p:free:vc_BMem,p:free:vc_CD4ET,p:free:vc_CD4NC,p:free:vc_CD8ET,p:free:vc_CD8NC,p:free:vc_NK
ENSG00000146909,0.00799595,0.0238773,0.0169257,0.125308,-0.00997736,0.0896339,-0.026204,-0.00763696,-0.0261739,0.119246,-0.0204079,0.380104,-0.28386,0.419472,0.0556814,-0.144065,0.410906,0.038919,-0.465914,-0.697131,-0.202375,-0.182445,0.139441,0.222374,0.468112,0.317396,0.315048,0.895593,0.831245,0.540661,0.294634,0.619498,0.65306,0.722143,0.0807525,0.645098
ENSG00000009335,0.0488416,0.0291823,-0.0219193,-0.171824,-0.066927,-0.0543219,-0.00273453,0.0253877,-0.0651038,0.0402483,-0.0299838,-0.123142,-0.949458,-0.561775,-0.0753854,-0.146465,0.0419285,0.611531,-0.654618,-0.196278,0.434465,-0.0260181,0.743988,0.314326,1.04487,0.0448276,0.344503,0.920907,0.61361,0.744854,0.65322,0.506689,0.27641,0.848416,0.293568,0.627117
ENSG00000105993,0.0045041,0.101131,-0.00156201,0.328185,-0.00487119,-0.00024797,0.00344503,-0.00528396,0.0179524,0.0120822,-0.0340105,-0.294307,-0.0985516,0.0271434,-0.0926219,0.997365,0.0066494,1.75162,-1.38452,-1.01108,-0.457167,-0.916698,1.03112,-0.689562,2.4982,0.308176,8.156e-05,0.749208,7.55635e-23,0.644532,0.504459,0.426692,0.773461,0.259705,0.187695,0.858031
ENSG00000155093,0.0584486,0.264075,0.00268042,0.570521,0.0179236,0.198017,-0.0731344,-0.0108001,-0.0500971,-0.0036451,-0.0595007,1.12822,0.884051,0.41123,0.13026,-0.19496,0.630326,1.00452,2.6388,1.27868,-0.442513,-0.312443,-0.909551,-0.410067,2.34645,0.0234625,7.60663e-05,0.838595,0.000313264,0.463965,0.195631,0.849209,0.636707,0.916849,0.5237,0.730473
ENSG00000146918,0.0591772,0.413712,0.0436553,0.292415,-0.0473777,-0.0551293,0.112347,0.062353,0.0420385,0.0451403,0.146215,-0.466617,-0.591426,0.747862,0.419265,0.25629,0.765284,0.916246,-0.304846,-0.328171,0.412297,-0.0964401,0.0529981,0.0732289,0.566077,0.0086046,0.00176014,0.276434,0.00973357,0.942893,0.964482,0.0800424,0.0484959,0.0930019,0.174021,0.0271848
ENSG00000117868,0.0768382,0.0834136,0.0320785,0.510026,-0.061883,-0.0786942,0.00738802,0.0158139,0.22364,-0.0574029,0.175687,0.040093,-0.0150587,0.110441,-0.0159096,1.2111,0.00872653,2.2308,-2.98786,-2.48197,0.18663,-0.168812,0.358889,0.334303,2.98306,0.00831749,0.0783472,0.341589,0.0576873,0.956388,0.973673,0.470959,0.33269,0.0481443,0.909498,0.126379
ENSG00000126870,0.0996697,0.11226,0.0700701,0.221704,0.301755,0.180186,0.00143588,-0.0677531,-0.00423114,-0.00119635,0.0802941,-0.425,-0.455083,0.213813,0.103758,0.951694,0.505127,0.65762,-0.740758,-0.928602,-0.726332,-0.735154,0.297852,-0.330439,1.81617,0.00383074,0.0632286,0.315413,0.120631,0.0393229,0.14108,0.494668,0.97523,0.528946,0.508187,0.231938
ENSG00000172748,0.0135742,0.043845,-0.0352769,-0.16994,-0.097714,-0.238657,0.0487993,-0.029716,-0.0172657,-0.0451751,0.132791,-0.961035,0.0763654,-0.255174,-0.168028,-0.439783,0.880499,-0.322422,-0.0462579,-0.00270918,-0.124316,-0.102048,-0.305806,-0.140442,0.0566357,0.269847,0.354546,0.644222,0.292635,0.814871,0.889244,0.378472,0.862894,0.603701,0.738167,0.213643
ENSG00000147364,0.0446346,0.031701,0.013101,0.486337,0.0723808,0.131426,-0.0244788,0.0532717,-0.0686322,-0.0341834,-0.0380774,1.10392,0.625878,0.959714,0.0642201,0.285258,0.0992709,0.266099,0.297178,-0.065451,0.00451508,-0.314072,0.0235999,-0.0677249,1.14437,0.0423347,0.299708,0.348574,0.102959,0.305412,0.2298,0.586579,0.0789185,0.936295,0.742452,0.741239
ENSG00000104714,0.332298,-0.0564525,0.0362535,0.207217,-0.091122,0.213727,0.358704,0.270817,-0.250613,0.0594863,-0.307225,-0.0146226,0.0484472,0.641412,-0.156447,0.175987,0.0461372,0.709606,1.38981,1.11606,-0.202616,-0.446957,0.25065,0.130315,-0.154783,5.4511e-09,0.824103,3.84282e-07,0.00184353,0.74902,0.165515,0.0391333,0.000112555,0.999963,0.260633,0.999993
