symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
IFNA14	0.11054256018367158	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.18183411766266877	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5	0	1	0	0	0	0	No data	0.9654715940430225	No data	0	No data	No data	-0.6164024999999999	No data	No data
IFNA6	0.11054256018367158	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.18183411766266877	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5	0	1	0	0	0	0	No data	0.9260893546607831	No data	0	No data	No data	-0.6560849999999998	No data	No data
IFNA7	0.11054256018367158	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.18183411766266877	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5	0	1	0	0	0	0	No data	0.9267512410369554	No data	0	No data	No data	-0.8412700000000001	No data	No data
IFNA16	0.11054256018367158	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.18183411766266877	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5	0	1	0	0	0	0	No data	0.9734142305570876	No data	0	No data	No data	-0.7222225000000002	No data	No data
IFNA10	0.11054256018367158	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.18183411766266877	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5	0	1	0	0	0	0	No data	0.9658025372311088	No data	0	No data	No data	-0.8941800000000001	No data	No data
IFNA21	0.11054256018367158	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.18183411766266877	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5	0	1	0	0	0	0	No data	0.9581908439051297	No data	0	No data	No data	-0.8015875000000001	No data	No data
IFNA8	0.11054256018367158	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.18183411766266877	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5	0	1	0	0	0	0	No data	0.9548814120242692	No data	0	No data	No data	-0.5502649999999999	No data	No data
IFNA4	0.11054256018367158	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.18183411766266877	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5	0	1	0	0	0	0	No data	0.8979591836734695	No data	0	No data	No data	-0.8941800000000001	No data	No data
TNFSF13	0.10998788870380395	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.17309140765330877	No data	No data	No data	No data	No data	No data	0.15660635085807365	No data	No data	0.75	0	1	0	0	0	0	No data	-0.2006618863761721	0	0	No data	No data	0	0.5	-1
JAK3	0.10900364221622869	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.17930271446103982	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	1	0.1014249999999997	1	-0.06254826254826251	-0.8827739924286893	0	No data	-1	0	0.5	0
ACE	0.10615154715110602	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.17309140765330877	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	1	0	1	1	1	1	0.16539	No data	-0.15377826806398232	-0.9741134275683322	0	-1	No data	0	0.5	0
CD86	0.10291772342261485	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.16929184016823612	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0	0	0	0	No data	-0.6261445118587976	-0.3219251137133483	0	No data	No data	0	0.5	0
ICOS	0.09807340414679977	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	No data	No data	No data	0.6398471644862311	No data	0.5319816653266692	0.75	1	0	0	1	0	0	No data	0.48108108108108105	-0.28523442701614776	0	No data	No data	No data	0.75	0.5
CSF3R	0.09650140650100547	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1587374860430344	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	1	0	0	0	0	No data	-0.40165471594043023	-0.48612637707390327	0	No data	-1	0	0.5	0
TLR8	0.09439023291165446	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.13678442946261474	No data	No data	No data	No data	No data	No data	No data	No data	0.36960672667792527	0.5	0	0	1	1	0	0	1	No data	-0.24994607335993513	0	No data	No data	0	0.5	0.5
POLE3	0.09239496367117545	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15198269940290526	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.6598649999999999	No data	0.31814671814671813	-0.7278541611047229	0	No data	No data	No data	-1	-1
GRIN3B	0.09239496367117545	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15198269940290526	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0	No data	0.8228350799779371	-0.2780188477560344	0	-1	No data	0	0.5	0.5
GRIN2A	0.09239496367117545	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15198269940290526	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.7643450000000002	1	-0.9111969111969112	-0.3220483859011447	0	-1	-1	0	1	0.5
FKBP1A	0.09239496367117545	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15198269940290526	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	1	0.86111	1	0.31991174848317705	-0.9406943921665206	0	No data	No data	-0.88426	-1	-1
GRIN2D	0.09239496367117545	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15198269940290526	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.8315849999999998	No data	-0.5156094870380585	-0.5879137193497569	0	-1	No data	0	0.5	0.5
POLA2	0.09239496367117545	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15198269940290526	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.15551999999999994	No data	-0.4361831218974076	No data	-1	No data	No data	No data	-1	0
POLA1	0.09239496367117545	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15198269940290526	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.4005450000000003	No data	No data	0	-1	No data	No data	0	-1	0
GRIN2C	0.09239496367117545	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15198269940290526	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.4444450000000003	No data	0.33667953667953676	-0.17073779750080204	0	-1	No data	0	1	0.5
PRIM1	0.09239496367117545	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15198269940290526	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	No data	No data	0	0	0	0.5119050000000002	No data	-0.2479867622724765	-0.5293645670915037	-1	No data	No data	No data	0.5	-1
POLD3	0.09239496367117545	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15198269940290526	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	No data	No data	-0.7831218974076117	-0.8333185574106167	-1	No data	No data	No data	-1	-1
PRIM2	0.09239496367117545	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15198269940290526	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.46955000000000024	No data	-0.07479316050744622	No data	No data	No data	No data	No data	0.5	-1
GRIN1	0.09239496367117545	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15198269940290526	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.9520249999999997	No data	-0.60419194704909	-0.9385901742958247	0	-1	No data	0	1	0.5
CRBN	0.09239496367117545	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15198269940290526	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.7850700000000004	1	0.310535024820739	-0.9094938363484895	0	No data	No data	No data	-1	-1
DHODH	0.09239496367117545	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15198269940290526	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	1	0.3797449999999998	1	0.12178709321566461	-0.6192062276137841	0	No data	No data	0	1	-1
POLE2	0.09239496367117545	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15198269940290526	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.5066400000000002	No data	0.9630446773303916	-0.8095062989495139	-1	No data	No data	No data	0.5	0
GRIN3A	0.09239496367117545	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15198269940290526	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.6681600000000003	No data	-0.506784335355764	0	0	-1	No data	0	1	0.5
POLE	0.09239496367117545	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15198269940290526	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0	0	0	0.5363100000000003	No data	-0.3678985107556536	-0.7052854311146441	-1	No data	-1	No data	-1	0
POLD4	0.09239496367117545	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15198269940290526	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.1588799999999999	No data	0.47931605074462214	0	0	No data	No data	No data	0.5	-1
POLD1	0.09239496367117545	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15198269940290526	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	1	0	0.47605999999999965	No data	-0.1565361279646994	-0.8627997175302484	-1	No data	-1	0	-1	0
